listing_id,url,address,postcode,price_isk,size_m2,rooms,bedrooms,bathrooms,property_type,open_house,listed_date,first_fetched,status,change_type,previous_price_isk
1064590,https://fasteignir.visir.is/property/1064590,Drápuhlíð 21,105,62900000,76.5,2,1,1,Fjölbýlishús,,,,active,,
1047328,https://fasteignir.visir.is/property/1047328,Drápuhlíð 24,105,64900000,79.4,2,1,1,Fjölbýlishús,,,,active,,
1077365,https://fasteignir.visir.is/property/1077365,Eskihlíð 15,105,59900000,71.3,2,2,1,Fjölbýlishús,,,2026-07-13,active,,
1045989,https://fasteignir.visir.is/property/1045989,Flókagata 13,105,74900000,89.8,3,1,1,Fjölbýlishús,,,,active,,
1057714,https://fasteignir.visir.is/property/1057714,Flókagata 27,105,60900000,75.7,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1077260,https://fasteignir.visir.is/property/1077260,Hallgerðargata 9,105,77000000,71,2,1,1,Fjölbýlishús,,,,active,,
1072387,https://fasteignir.visir.is/property/1072387,Hamrahlíð 37,105,71000000,81.7,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1061221,https://fasteignir.visir.is/property/1061221,Hofteigur 8,105,59900000,74.3,2,1,1,Fjölbýlishús,,,,active,,
1077203,https://fasteignir.visir.is/property/1077203,Háteigsvegur 23,105,63900000,77.3,1,3,2,Fjölbýlishús,"2026-07-14, 17:00–17:30",2026-07-14,,active,open_house,
1070019,https://fasteignir.visir.is/property/1070019,Hátún 4,105,59900000,77.3,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1075942,https://fasteignir.visir.is/property/1075942,Kleppsvegur 12,105,69900000,81.3,3,2,1,Fjölbýlishús,"2026-07-13, 17:00–17:30",2026-07-13,,active,open_house,
1075461,https://fasteignir.visir.is/property/1075461,Kleppsvegur 28,105,68900000,87,3,2,0,Fjölbýlishús,,,2026-07-13,active,,
1020511,https://fasteignir.visir.is/property/1020511,Kleppsvegur 42,105,79900000,119.2,4,4,1,Fjölbýlishús,,,2026-07-13,active,,
1069278,https://fasteignir.visir.is/property/1069278,Kleppsvegur 50,105,74900000,100.9,4,3,1,Fjölbýlishús,,,2026-07-13,active,,
1045317,https://fasteignir.visir.is/property/1045317,Kleppsvegur 50,105,74500000,102.4,5,3,1,Fjölbýlishús,,,2026-07-13,active,,
1054601,https://fasteignir.visir.is/property/1054601,Langahlíð 23,105,67700000,79.1,2,1,1,Fjölbýlishús,,,,active,,
1066651,https://fasteignir.visir.is/property/1066651,Laugaborg (102),105,80000000,80.9,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1075556,https://fasteignir.visir.is/property/1075556,Laugaborg (124),105,79500000,81.5,3,2,1,Fjölbýlishús,"2026-07-14, 12:30–13:00",2026-07-14,,active,open_house,
1074007,https://fasteignir.visir.is/property/1074007,Laugaborg (219),105,71900000,75.1,2,1,1,Fjölbýlishús,,,,active,,
1074009,https://fasteignir.visir.is/property/1074009,Laugaborg (415),105,77600000,71.3,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1073477,https://fasteignir.visir.is/property/1073477,Laugaborg 318,105,73900000,75.3,2,1,1,Fjölbýlishús,,2026-07-14,,active,,
1059647,https://fasteignir.visir.is/property/1059647,Laugaborg íbúð 102,105,80000000,80.9,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1051034,https://fasteignir.visir.is/property/1051034,Laugaborg íbúð 124,105,79500000,81.5,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1068356,https://fasteignir.visir.is/property/1068356,Laugaborg íbúð 318,105,73900000,75.3,2,1,1,Fjölbýlishús,,,,active,,
1075518,https://fasteignir.visir.is/property/1075518,Laugaborg íbúð 322,105,75900000,72.8,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1068319,https://fasteignir.visir.is/property/1068319,Laugaborg íbúð 415,105,77600000,71.3,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1074791,https://fasteignir.visir.is/property/1074791,Laugarnesvegur 44,105,62900000,70.3,3,1,1,Fjölbýlishús,,,,active,,
1074275,https://fasteignir.visir.is/property/1074275,Laugarnesvegur 58,105,72900000,80.6,4,2,1,Fjölbýlishús,,,2026-07-13,active,,
1068500,https://fasteignir.visir.is/property/1068500,Laugarnesvegur 62,105,74500000,87.3,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1076007,https://fasteignir.visir.is/property/1076007,Laugarnesvegur 79,105,64900000,95.2,3,2,1,Fjölbýlishús,"2026-07-13, 17:00–17:30",2026-07-13,,active,open_house,
1064448,https://fasteignir.visir.is/property/1064448,Laugarnesvegur 89,105,79900000,87.4,2,1,1,Fjölbýlishús,,,,active,,
1075258,https://fasteignir.visir.is/property/1075258,Laugateigur 17,105,69900000,91.6,3,0,0,Fjölbýlishús,,,,active,,
1075737,https://fasteignir.visir.is/property/1075737,Laugateigur 58,105,71900000,87.3,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1071597,https://fasteignir.visir.is/property/1071597,Laugavegur 133,105,71700000,80,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1075964,https://fasteignir.visir.is/property/1075964,Laugavegur 168,105,79900000,75.7,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1074733,https://fasteignir.visir.is/property/1074733,Laugavegur 168 - Heklureitur íb 201,105,79900000,77,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1074099,https://fasteignir.visir.is/property/1074099,Laugavegur 168 íb 216 - Heklureitur,105,79900000,75.7,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1068413,https://fasteignir.visir.is/property/1068413,Laugavegur 168 íb201 Heklureitur,105,79900000,77,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1064718,https://fasteignir.visir.is/property/1064718,Laugavegur 168 íb216 Heklureitur,105,79900000,75.7,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1074735,https://fasteignir.visir.is/property/1074735,Laugavegur 170 íb 317 - Heklureitur,105,78900000,77.8,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1075587,https://fasteignir.visir.is/property/1075587,Miklabraut 58,105,69900000,106.2,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1075713,https://fasteignir.visir.is/property/1075713,Mánagata 20,105,69900000,74.2,2,1,1,Fjölbýlishús,,,,active,,
1048829,https://fasteignir.visir.is/property/1048829,Mánatún 1 íb603,105,74900000,81.7,2,1,1,Fjölbýlishús,,,,active,,
